title,author,isbn,call_number,call_prefix,subjects,summary,series,reading_level
Queerceañera,"Crespo, Alex.",9780063257405,F,FIC,Mexican American teenage boys -- Fiction. | Mexican Americans -- Fiction. -- Social life and customs | Separation (Psychology) -- Fiction. | Mexican American families -- Fiction. | Gay teenagers -- Fiction. | Homophobia -- Fiction. | Dating (Social customs) -- Fiction. | LGBT people -- Fiction. | Bildungsromans. | Romance fiction. | Humorous fiction.,"""A young adult rom-com follows Joaquin Zoido, a 17-year-old kid who's suddenly thrown into a whirlwind of telenovela-level drama when he finds himself fake-dating his childhood crush and newly minted date to his 'queerceañera,' the coming out party to celebrate him""--OCLC.",,Young Adult
Run away with me,"Selznick, Brian.",9781339035529,F,FIC,Americans -- Fiction. -- Italy | Gays -- Fiction. | Teenagers -- Fiction. | First loves -- Fiction. | Romance fiction. | Bildungsromans.,A romantic story about two boys finding each other and falling in love over the summer in Rome.,,Young Adult
The shape of lost things,"Everett, Sarah.",9780063256613,F,FIC,Family life -- Fiction. | Siblings -- Fiction. | Brothers -- Fiction. | Family secrets -- Fiction.,"""Skye Nickson's world changed forever when her dad went on the run with her brother, Finn. It's been four years without Finn's jokes, four years without her father's old soul music, and four years of Skye filling in as Rent-a-Finn for their mom. Finn's birthday is always difficult, but at least Skye has her best friends, Reece and Jax, to lean on, even if Reece has started acting too cool for them. But this year is different, because after Finn's birthday, they get a call that he's finally been found. Tall, quiet, and secretive, this Finn is nothing like the brother she grew up with. He keeps taking late-night phone calls, losing his new expensive gifts, and he doesn't seem to remember any of their inside jokes or secrets. As Skye tries to make sense of it all through the lens of her old Polaroid camera, she starts to wonder: Could this Finn be someone else entirely? And if everyone else has changed, does it mean that Skye has to change too?""--Provided by publisher.",,5-8
Unraveled,"Messenger, Shannon.",9781665967419,F,FIC,Psychic ability -- Fiction. | Memory -- Fiction. | Identity -- Fiction. | Elves -- Fiction. | Fantasy fiction.,"""Please be careful. Please be happy. And please forget all about me. It'll be better for everyone that way. Those were the last words Keefe Sencen wrote to Sophie Foster before he ran away to the Forbidden Cities. He didn't want to leave, but it was the only way to keep his friends safe while he figured out how to control his scary new powers and searched for answers about his past""--Provided by publisher.",Keeper of the lost cities,5-8
"Angus, thongs and full-frontal snogging  confessions of Georgia Nicolson","Rennison, Louise",0060288140,F Ren,FIC,Girls -- Fiction. | Diaries -- Fiction. | Humorous fiction,"Presents the humorous journal of a year in the life of a fourteen-year-old British girl who tries to reduce the size of her nose, stop her mad cat from terrorizing the neighborhood animals, and win the love of handsome hunk Robbie.",,5.2
The cousins,"McManus, Karen M.",9780525708001,F,FIC,Cousins -- Fiction. | Family life -- Fiction. | Secrecy -- Fiction.,"After receiving an invitation to spend the summer with their estranged grandmother, the Story cousins arrive at her house only to discover that she is not there, and the longer they stay on the island, the more they realize their mysterious family history has some deadly secrets.",,Young Adult
Lovesick falls,"Drake, Julia.",9780759557826,F,FIC,Friendship -- Fiction. | Identity -- Fiction. | Interpersonal relations -- Fiction. | LGBTQ people -- Fiction. | Teenagers -- Fiction. | Summer -- Fiction. | Romance fiction.,"Celia, determined to be the perfect friend, plans an idyllic summer with her two best friends in a secluded cabin, but hidden romantic tensions and new connections have the potential to turn her dream getaway into a complicated nightmare.",,Young Adult
Meet me on Love Street,"Heron, Farah.",9781665957571,F,FIC,Festivals -- Fiction. | Indians -- Fiction. -- Canada | Gentrification -- Fiction. | Man-woman relationship -- Fiction. | Romance fiction.,"Seventeen-year-old Sana, a hopeless romantic, teams up with the cynical Miles to plan a festival to save her gentrifying neighborhood on Love Street, all while trying to prove that love can conquer even the toughest of hearts.",,Young Adult
One of us is back,"McManus, Karen M.",9780593485019,F,FIC,Missing persons -- Fiction. | High schools -- Fiction. | School stories. | Mystery fiction. | Mystery fiction. | Humorous fiction.,"A member of the Bayview Crew disappears and everyone feels like they could be next, but the situation suddenly worsens when someone unexpectedly returns to Bayview.",One of us is lying,Young Adult
One of us is next,"McManus, Karen M.",9780525707967,F,FIC,Gossip -- Fiction. | High schools -- Fiction. | School stories. | Mystery fiction. | Mystery fiction. | Humorous fiction.,"""A year after the Bayview four were cleared of Simon Kelleher's death, a new mystery has cropped up--a game with dangerous consequences that's targeting students at Bayview again. And if the creator isn't found soon, dangerous could prove deadly""--Provided by publisher.",,Young Adult
You'll be the death of me,"McManus, Karen M.",9780593175866,F,FIC,Homicide -- Fiction. | Friendship -- Fiction. | Secrecy -- Fiction. | Mystery fiction. | Mystery fiction.,"Estranged friends Ivy, Mateo, and Cal witness a murder while skipping school, and the only way they can solve it is by revealing what they have been hiding from one another--and themselves.",,Young Adult
Blood in the water,"Jackson, Tiffany D.",9781338849912,F,FIC,Homicide -- Fiction. | Secrecy -- Fiction. | African Americans -- Fiction. | Mystery fiction. | Mystery fiction.,"""Brooklyn girl Kaylani McKinnon is thrust into an intricate web of lies when a shocking murder on Martha's Vineyard threatens to expose dangerous secrets""--Provided by publisher.",,5-8
The Incorruptibles,"Magaziner, Lauren.",9781665968669,F,FIC,Magic -- Fiction. | School stories. | Resistance to government -- Fiction. | Fantasy fiction. | Humorous fiction.,"Fiora joins Inc Academy, a school for human resistance fighters, to battle against the corrupt sorcerers oppressing her world.",The Incorruptibles,3-6
Where the water takes us,"Barillaro, Alan.",9781536224542,F,FIC,Blessing and cursing -- Fiction. | Fear -- Fiction. | Family life -- Fiction.,"""Ava's mom is about to have twins, and the pregnancy isn't going well. All Ava wants to do is stay by her mother's side, but instead, she is sent away to stay with her grandparents. Normally, spending time at the lake with Nonna and Nonno is wonderful. But everything is different now. While her mom's hospital visits are getting serious back home, Ava grapples with anxiety. As summer storms rock the island, electricity goes out at the cabin, and an annoyingly cheerful boy named Cody seems determined to pop up everywhere she goes. Ava can't be distracted from the feeling that something terrible, something irrevocable, is going to happen to her mom while she is gone. When a bird dies in front of her, Ava is sure it is a sign that she is cursed, the last thing she, or her family, needs. But if a curse has been placed on her, there must a way to break it. So Ava makes a deal: if she can take care of two orphaned bird eggs, she will have paid off her debt, and her family will be alright. With everyone she loves on the line, Ava will do everything in her power to make sure that her mom, her twin baby brothers, her birds, and even Cody all come through the summer safely""--Publisher.",,5.1.
Adaline Falling Star,"Osborne, Mary Pope",043905947X,F Osb,FIC,Arapaho Indians -- Fiction | Ethnic groups -- Fiction. | Native Americans -- Fiction | Survival skills -- Fiction.,"Feeling abandoned by her deceased Arapaho mother and her explorer father, Adaline Falling Star runs away from the prejudiced cousins with whom she is staying and comes close to death in the wilderness, with only a mongrel dog for company.",,720
Bunns Rabbit,"Barillaro, Alan author illustrator.",9781536214673 (hardcover),F Bar,FIC,Exile (Punishment) -- Juvenile fiction. | Foxes -- Juvenile fiction. | Forests and forestry -- Juvenile fiction. | Magic -- Juvenile fiction. | Rabbits -- Juvenile fiction. | Exile (Punishment) -- Fiction. | Foxes -- Fiction. | Forests and forestry -- Fiction. | Magic -- Fiction. | Rabbits -- Fiction.,"""When Bunns is born with small but perfectly functional rabbit ears, the warren is abuzz with auguries. Surely such short ears spell bad luck for the community. Sheltered in her family's burrow, Bunns listens to the rhythm of her mother's heartbeat-Thump, thump, thump -- a song of home and belonging. Her father explains that unlike a rabbit's words or thumping feet, a heartsong cannot lie. But the unknown world of the meadow, the sounds and smells above, call to Bunns. When at last she's ready to brave the staring and whispering of neighbors who fear her because she's different, and the disapproving elders who threaten to banish her family, she finds a world beyond the warren where myths and riddles, magic voyages, and important new friends await. Can the ""bad omen bunny"" follow her own heartsong to a destiny -- a wish -- meant just for her? Academy Award-winning director, writer, and animator Alan Barillaro's graceful storytelling, warm illustrations, and dramatic graphic panels weave light and dark into a seamless tapestry to enchant children and adults alike""--",,
The spirit glass,"Chokshi, Roshani.",9781368093392,F,FIC,Philippine mythology -- Fiction. | Magic -- Fiction. | Ghost stories. | Fantasy fiction.,"Corazon Lopez looks forward to her eleventh birthday, when she can finally be trained in wielding babaylan magic and use it to bring her parents back to life.",,6.9.
The ballad of songbirds and snakes,"Collins, Suzanne.",9781546171898,F,FIC,Insurgency -- Fiction. | Survival skills -- Fiction. | Television programs -- Fiction. | Interpersonal relations -- Fiction. | Contests -- Fiction. | Science fiction.,"""Revisit the world of Panem sixty-four years before the events of The Hunger Games, starting on the morning of the reaping of the Tenth Hunger Games""--OCLC.",A Hunger Games novel,Young Adult
The crossroads,"Diaz, Alexandra.",9781534414556,F,FIC,Unauthorized immigrants -- Fiction. | Immigrants -- Fiction. | School stories. | Brothers -- Fiction. | Cousins -- Fiction. | Refugees -- Fiction. | Guatemalan Americans -- Fiction.,"Jaime, twelve, and Angela, fifteen, discover what it means to be living as undocumented immigrants in the United States, while news from home gets increasingly worse.",,5.5.
The fire,"Patterson, James 1947-",9780606266987,F,FIC,Siblings -- Fiction. | Totalitarianism -- Fiction. | Resistance to government -- Fiction. | Magic -- Fiction.,Whisty Allgood and her brother Whit must come up with a better plan after her efforts to use her fight and fire to defeat The One Who is the One--the evil leader who killed their family and banned everything they hold dear in the world--only adds to his power.,Witch & wizard,5.7.
Fragments of the lost,"Miranda, Megan.",9780399556722,F,FIC,Dating (Social customs) -- Fiction. | Personal belongings -- Fiction. | Secrecy -- Fiction. | Trust -- Fiction. | Family life -- Fiction. | Mystery fiction.,"""Jessa Whitworth knew she didn't belong in her ex-boyfriend Caleb's room. His mother asked her to pack up his things--even though she blames Jessa for his accident. How could she say no? And maybe, just maybe, it will help her work through the guilt she feels about their final moments together. But as Jessa begins to box up the pieces of Caleb's life, they trigger memories that make Jessa realize their past relationship may not be exactly as she remembered. And she starts to question whether she really knew Caleb at all. Each fragment of his life reveals a new clue that propels Jessa to search for the truth about Caleb's accident. What really happened on the storm-swept bridge?""--Provided by publisher.",,Young Adult
The gift,"Patterson, James 1947-",9780606264518,F,FIC,Siblings -- Fiction. | Magic -- Fiction. | Totalitarianism -- Fiction.,"After escaping imprisonment by the totalitarian regime known as the New Order, siblings Wisty and Whit Allgood, who possess magical powers, establish themselves as leaders of the Resistance, a hidden community of teenagers like themselves, hunted by the state and determined to defy its ban on the arts, magic, and all other forms of creativity.",Witch & wizard,5.6.
The kiss,"Patterson, James 1947-",9780316101912,F,FIC,Siblings -- Fiction. | Loyalty -- Fiction. | Witches -- Fiction. | Wizards -- Fiction. | Totalitarianism -- Fiction. | Resistance to government -- Fiction. | Magic -- Fiction.,"""For the first time in their lives, Wisty and Whit Allgood find themselves at odds as Wisty is drawn to a mysterious and magical stranger named Heath""--Provided by publisher.",Witch & wizard,5.3.
Partypooper,"Kinney, Jeff.",9781419782695,F,FIC,Diaries -- Fiction. | Middle school students -- Fiction. | Birthday parties -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Humorous fiction.,"Celebrate with Greg, his family, and more as Greg throws an epic birthday party for himself.",The diary of a wimpy kid series,5-8
Sunrise on the reaping,"Collins, Suzanne.",9781546171461,F,FIC,Survival skills -- Fiction. | Television programs -- Fiction. | Interpersonal relations -- Fiction. | Contests -- Fiction. | Dystopian fiction. | Science fiction.,"""As the day dawns on the . . . annual Games . . . Haymitch Abernathy is trying not to think too hard about his chances.All he cares about is making it through the day and being with the girl he loves. When Haymitch's name is called . . .he's . . . shuttled to the Capitol with the three other . . . tributes . . . As the Games begin, Haymitch understands he's been set up to fail. But there's something in him that wants to fight . . . and have that fight reverberate far beyond the . . . arena""--Dust jacket.",A Hunger games novel,Young Adult
We were liars,"Lockhart, E.",9780385741262,F,FIC,Friendship -- Fiction. | Romance fiction. | Family life -- Fiction. | Amnesia -- Fiction. | Wealth -- Fiction. | Romance fiction.,"Spending the summers on her family's private island off the coast of Massachusetts with her cousins and a special boy named Gat, teenaged Cadence struggles to remember what happened during her fifteenth summer.",,Young Adult
Witch & wizard,"Patterson, James 1947-",9780316036245,F,FIC,Siblings -- Fiction. | Witchcraft -- Fiction. | Dystopian fiction | Paranormal fiction. | Dystopian fiction.,"A sister and brother, along with thousands of young people, have been kidnapped and either thrown in prison or turned up missing after accusations of witchcraft were made against them, and the ruling regime will do anything in order to suppress life and liberty, music and books.",Witch & wizard,4.9.
At the edge of lost,"Brockenbrough, Martha.",9781546125020,F,FIC,Dogs -- Fiction. | Lost pets -- Fiction. | Storms -- Fiction. | Adventure fiction.,"Caleb and his dog Ronan are separated after tragedy strikes, and they embark on an impossible journey to reunite, facing dangers and a brewing storm along the way.",,5-8
Chef's secret,"Yang, Kelly.",9781546138662,F,FIC,Chinese Americans -- Fiction. | Journalism -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Interpersonal relations -- Fiction.,"""Jason Yao has a secret . . . actually, lots of secrets! For one thing, it's hard being a professional chef, helping to run a motel, and being a regular kid! And now that Mia Tang is officially his girlfriend, Jason's life has reached a whole new level of exciting--and terrifying! After all, Mia is amazing, and Jason is . . . just Jason. But he's determined to be the best boyfriend ever, and he knows exactly what he needs to do . . .""--Provided by publisher.",A front desk novel,3-6
Fall of the fireflies,"McCall, Guadalupe Garcia.",9781643796994,F,FIC,Twins -- Fiction. | Sisters -- Fiction. | Monsters -- Fiction. | Father-daughter relationship -- Fiction. | Fantasy fiction.,"""Fifteen-year-old twins Velia and Delia take on a divine assignment to be monster-hunting warrior women and save their father's life""--Provided by publisher.",Seasons of sisterhood,Young Adult
The Lost,"Patterson, James 1947-",9780316207706,F,FIC,Siblings -- Fiction. | Witches -- Fiction. | Wizards -- Fiction. | Totalitarianism -- Fiction. | Resistance to government -- Fiction. | Magic -- Fiction. | Fantasy fiction.,"""Magical teen siblings Whit and Wisty Allgood struggle against a mounting public opposition to magic and a brutal crime wave led by a powerful wizard intent on ruling the City""--Provided by publisher.",Witch & wizard,5.2.
Recipe for disaster,"Lucido, Aimee.",9780358386919,F,FIC,Judaism -- Fiction. | Bat mitzvah -- Fiction. | Baking -- Fiction. | Friendship -- Fiction. | Family life -- Fiction.,"""Hannah Malfa-Adler is Jew . . . ish. Not that she really thinks about it. She'd prefer to focus on her favorite pastime: baking delicious food! But when her best friend has a beyond-awesome Bat Mitzvah, Hannah starts to feel a little envious ...Despite her parents firm no, Hannah knows that if she can learn enough about her own faith, she can convince her friends that the party is still in motion""--Provided by publisher.",,5.0.
The secret astronomers,"Walker, Jessica (Illustrator)",9780593692677,F,FIC,Friendship -- Fiction. | Grief -- Fiction. | High schools -- Fiction. | Humorous fiction. | Mystery fiction.,"""In Green Bank, West Virginia, two teens--grieving, artistic Copernicus and Kepler, a small-town overachiever--become secret pen pals through a forgotten astronomy textbook and join forces to unravel a decades-old mystery tied to Copernicus's late mother""--OCLC.",,Young Adult
The moon without stars,"Miller, Chanel author.",9780593624555,F,FIC,Middle school girls. | Middle school students. | Zines -- Authorship. | Friendship -- Fiction. | Self-realization. | Self-actualization -- Fiction.,"""At the beginning of seventh grade, Luna knows who she is: an observant, quiet girl who loves writing and making zines with her best friend, Scott. But when one of their zines takes off, somehow Luna is swept up into the popular group and learns just how much of herself she's going to have to compromise to stay there""--Provided by publisher.",,Middle School
Unweaving,"Tuttle, M.E. author.",9798852676528,F,FIC,Fantasy ficion.,"Ellie Evans was having a bad day. Whe she encounters Stella the Goth girl, she's sent through a portal to a strange land populated with mythical creatures, prehistoric beasts, and a grumpy pallas cat who has an unfortunate allergy.  Join Ellie with her new friends: A master chef faun, a well-meaning werewolf, a solar powered flying horse, and a tortoise who thinks she's a god as they struggle against the extraordinary power of the Unweaver. It's controlled by a mad goddess who wants to destroy Avaria and everything in it.",,
Hotel Acheron,"Tuttle, M.E. author.",9798323932511,F,FIC,Fantasy ficion.,"Ellie Evans uses the power of music to perform magic she never thought possible on Earth.  Ellie and her friends are called upon to infiltrate a mysterious hotel in Avaria's biggest city. They must rescue a captive Celestial dragon and his Singer. But this is no ordinary hotel.  Ellie and Bendrith soon find out the reason people enter but never leave.  Hotel Acheron is a breakthrough fantasy novel for 2024, bringing you into the world of mythology in a whole new setting",,
Wintersong,"Tuttle, M.E. author.",9798268466898,F,FIC,Fantasy ficion.,"Northern Avaria is in the grip of a terrifying illness. Singer Ellie Evans and the Celestial dragon, Bendrith are sent to heal a village that has succumbed to the illness, but they're separated enroute. Imprisoned by forces that seek to destroy Avaria, Bendrith has to find a way to guide Ellie to fulfill her destiny.  Meanwhile, the werewolf Eddie and Faun Faramond find themselves in peril from their attempt to find and rescue Ellie.  Join the adventure as Ellie, Bendrith, Eddie, Faramond, and a band of mystical Myxolydians set out to save their home and everyone in it from the force that threatens their existence!",,
The Death Cure,"Dashner, James 1972-",9780385738774,F,FIC,Survival skills -- Fiction. | Science fiction,"In a final effort to complete the blueprint for the cure, Thomas must rely on the Gladers, with full memories restored, but Thomas does not trust Wicked and he remembers much more than they realize.",The Maze Runner,Young Adult
Twilight,"Meyer, Stephenie 1973-",0316160172,F,FIC,Vampires -- Fiction. | High schools -- Fiction | School stories,"When seventeen-year-old Bella leaves Phoenix to live with her father in Forks, Washington, she meets an exquisitely handsome boy at school for whom she feels an overwhelming attraction and who she comes to realize is not wholly human.",Twilight,Young Adult
Ready Player One,"Cline, Ernest",9780307887443,F,FIC,Fantasy fiction | Puzzles -- Fiction. | Utopias -- Fiction. | Virtual reality -- Fiction. | Civilization -- Fiction.,"In the year 2044, Wade Watts, like the rest of humanity, chooses to escape reality and spends his waking hours in the limitless, utopian virtual world of the OASIS, but when Wade stumbles upon the first of the fiendish puzzles set up by OASIS creator James Halliday he finds he must compete with thousands of others -- including those willing to commit murder -- in order to claim a prize of massive fortune.",Ready Player One,970
The court of the dead,"Riordan, Rick.",136810911X,F,FIC,Action and adventure fiction. | Mythological fiction. | Adventure fiction. | Monsters -- Fiction. | Camp -- Fiction. | Roman mythology -- Fiction. | Greek mythology -- Fiction.,Nico and Will travel to Camp Jupiter to assist Nico's half-sister Hazel with an influx of reformed monsters arriving at camp and find themselves facing a dark force imposing retribution of its own.,,5-8
Spy school blackout,"Gibbs, Stuart 1969-",9781665956512,F,FIC,Spy stories. | Computer crimes -- Fiction. | School stories. | Adventure fiction. | Spy stories. | Humorous fiction. | Adventure fiction.,"""Superspy middle schooler Ben Ripleyand his friends go off the grid to eliminatea cybersecurity threat""--Provided by publisher.",A spy school novel,5-8
Radiant,"Nelson, Vaunda Micheaux.",9780593855782,F,FIC,African Americans -- Fiction. | School stories | Family life -- Fiction. | Race relations -- Fiction. | Historical fiction.,"In 1963, Cooper Dale navigates the challenges of fifth grade as a Black girl in a predominantly white community near Pittsburgh.",,5-8
The poetry of car mechanics,"Stemple, Heidi E. Y.",9781662660214,F,FIC,Family life -- Fiction. | Mental illness -- Fiction. | Birds -- Fiction. | Mechanics (Persons) -- Fiction.,"""Dylan seeks solace through birdwatching and poetry in the woods behind his grandfather's auto shop--but when he rescues an injured hawk, he must learn to confront the broken parts in himself, too""--Provided by publisher.",,5-8
Moon rising,"Sutherland, Tui 1978-",9780545685344,F,FIC,Dragons -- Fiction. | Prophecies -- Fiction. | Telepathy -- Fiction. | Secrecy -- Fiction. | Identity -- Fiction. | Fantasy fiction. | Fantasy fiction.,"""When Moonwatcher, a young NightWing with secret powers, begins school at the academy started by the dragonets of destiny after the end of the war, she soon realizes that someone is attacking the students. Moon must choose whether to help or continue to hide her gifts""--Provided by publisher.",Wings of fire,5.3.
Alone,"Freeman, Megan E.",9781534467576,F,FIC,Girls -- Fiction. | Survival skills -- Fiction. | Human-animal relationships -- Fiction. | Loneliness -- Fiction.,"""When twelve-year-old Maddie hatches a scheme for a secret sleepover with her two best friends, she ends up waking up to a nightmare. She's alone--left behind in a town that has been mysteriously evacuated and abandoned. With no one to rely on, no power, and no working phone lines or internet access, Maddie slowly learns to survive on her own. Her only companions are a Rottweiler named George and all the books she can read. After a rough start, Maddie learns to trust her own ingenuity and invents clever ways to survive in a place that has been deserted and forgotten. As months pass, she escapes natural disasters, looters, and wild animals. But Maddie's most formidable enemy is the crushing loneliness she faces every day""--Amazon.",,4.7.
"Bye forever, I guess","Meadows, Jodi.",9780823461844,F,FIC,Friendship -- Fiction. | Identity (Psychology) -- Fiction. | Blogs -- Fiction.,"Eighth-grader Ingrid runs a popular blog anonymously and has online personal more popular than she is, but when a wrong-number text message offers her a chance at connection, Ingrid opens herself to the opportunity to make a real live friend.",,5-8
The dangerous gift,"Sutherland, Tui 1978-",9781338883329,F,FIC,Dragons -- Fiction. | Magic -- Fiction. | Good and evil -- Fiction. | Adventure fiction. | Action and adventure fiction. | Fantasy fiction.,"""Snowfall didn't expect to be queen of the IceWings at such a young age, but now that she is, she's going to be the best queen ever. All she has to do is keep her tribe within IceWing territory, where it's safe--while keeping every other tribe out, where they belong. It's a perfect and simple plan, backed up by all the IceWing magic Snowfall can find. That is, until a storm of unidentified dragons arrives on her shore, looking for asylum. The foreigners are completely strange and, Snowfall is certain, utterly untrustworthy. But as she escorts the miserable new tribes out of her kingdom, Snowfall is forced to reconsider her plan. Maybe she can only keep her tribe safe . . . if she's willing to risk everything""--Back cover.",Wings of fire,5.5.
Darkness of dragons,"Sutherland, Tui 1978-",9780545685481,F,FIC,Dragons -- Fiction. | Magic -- Fiction. | Good and evil -- Fiction. | Adventure fiction. | Fantasy fiction. | Action and adventure fiction.,"""When a young NightWing has the first prophecy in generations of the end of Pyrrhia, five young dragons are tasked with saving the world""--OCLC.",Wings of fire,5.3.
Dive,"Anderson, John David 1975-",9780063279360,F,FIC,Friendship -- Fiction. | Diving -- Fiction. | Ragpickers -- Fiction. | Private schools -- Fiction. | School stories.,"""Kassandra Conner joins the diving team at her new private school, but when she befriends a townie who dumpster dives, she starts to break out of her own box""--Provided by publisher.",,5-8
Dropping beats,"Lessore, Nathanael.",9780316576987,F,FIC,Rap music -- Fiction. | Family life -- Fiction. | Friendship -- Fiction. | Black people -- Fiction. -- England,"Aspiring young rapper Shaun 'Growls' Thompson navigates through embarrassing incidents, family troubles, and friendship challenges, finding support from a new friend and ultimately hatching a plan to save his family from eviction.",,Young Adult
Escaping peril,"Sutherland, Tui 1978-",9780545685450,F,FIC,Dragons -- Fiction. | Prophecies -- Fiction. | Friendship -- Fiction. | Identity (Psychology) -- Fiction. | Adventure fiction. | Fantasy fiction. | Action and adventure fiction.,"Peril is possibly the most dangerous dragon in Pyrrhia, because she has firescales that can kill an opponent with a touch, but now she has a mission--find her former queen, Scarlet, who is threatening the Jade Mountain Academy, and then stop her, and she is not sure if the persistent SeaWing, Turtle, who is accompanying her, will be a help or a hindrance.",Wings of fire,5.3.
The flames of hope,"Sutherland, Tui 1978-",9781338214581,F,FIC,Dragons -- Fiction. | Magic -- Fiction. | Good and evil -- Fiction. | Adventure fiction. | Action and adventure fiction. | Fantasy fiction.,"""Luna has always wanted to change the world--to fix it, to free it--even if she's never actually known how. Now that all of dragon--and humankind are in mortal danger, Luna is flying back home to Pantala with a team of dragons on a rescue mission, determined to be brave and useful.  But saving a continent isn't as easy as a prophecy makes it sound, and 'facing a great evil' definitely requires more than the fiery silk that Luna is uniquely able to create. As she fights her way to the abyss that hides the dark roots poisoning Pantala, Luna must uncover a long-buried secret and unite her friends, her enemies, and her own powers. If she doesn't, she won't get to change the world. She'll have to say goodbye to it--forever""--Back cover.",Wings of fire,5.3.
A good girl's guide to murder,"Jackson, Holly 1992-",9781984896391,F,FIC,Criminal investigation -- Fiction. | Homicide -- Fiction. | Mystery fiction. | Detective and mystery fiction.,"""As her senior capstone project, Pippa Fitz-Amobi is determined to find the real killer in a closed, local murder case, but not everyone wants her meddling in the past""--Provided by publisher.",,Young Adult
The hive queen,"Sutherland, Tui 1978-",9781338214499,F,FIC,Dragons -- Fiction. | Friendship -- Fiction. | Fantasy fiction. | Action and adventure fiction.,"""Growing up in the hives, Cricket has always had a million questions. Why are trees forbidden, even in art? Why do her parents seem to hate her? And the biggest, most dangerous and secret question of all: Why is Cricket immune to Queen Wasp's powers? Whenever the queen takes control of all the HiveWings, speaking through their mouths and seeing through their eyes, Cricket has to hide, terrified of being discovered. Now she's hiding again, wanted for stealing the Book of Clearsight along with her new SilkWing friends, Blue and Swordtail, and the fierce LeafWing, Sundew. The fugitives need answers, and fast, in order to prevent a LeafWing attack. But Cricket has more questions than ever. How can she stay hidden and discover the queen's deadliest secret? And if she does succeed--can a powerless dragonet really do anything to topple a regime and stop a war?""--Publisher.",Wings of fire,5.5.
The house of Hades,"Riordan, Rick.",9781368051712,F,FIC,Roman mythology -- Fiction. | Greek mythology -- Fiction. | Giants -- Fiction. | Camps -- Fiction. | Adventure fiction. | Fantasy fiction. | Action and adventure fiction. | Monster fiction.,"""Greek and Roman demigods from the Prophecy of Seven must work together to seal the Doors of Death--and help Percy and Annabeth escape the Underworld in the process""--Provided by publisher.",Heroes of Olympus,4.8.
I must betray you,"Sepetys, Ruta.",9781984836045,F,FIC,Spies -- Fiction. | Family life -- Fiction. -- Romania | Totalitarianism -- Fiction. | Revolutions -- Fiction. | Spy fiction. | Thrillers (Fiction) | Historical fiction.,"""In a country governed by isolation, fear, and a tyrannical dictator, seventeen-year-old Cristian Florescu is blackmailed by the secret police to become an informer, but he decides to use his position to try to outwit his handler, undermine the regime, give voice to fellow Romanians, and expose to the world what is happening in his country""--OCLC.",,Young Adult
I'm not dying with you tonight,"Jones, Kimberly (Kimberly Latrice)",9781728240237,F,FIC,Race relations -- Fiction. | Riots -- Fiction. | African Americans -- Fiction.,"Told from two viewpoints, Atlanta high school seniors Lena and Campbell, one black, one white, must rely on each other to survive after a football rivalry escalates into a riot.",,Young Adult
Leah on the offbeat,"Albertalli, Becky.",9780062643810,F,FIC,Secrecy -- Fiction. | Bisexual people -- Fiction. | Friendship -- Fiction. | High schools -- Fiction. | School stories.,"""When it comes to drumming, Leah Burke is usually on beat--but real life isn't always so rhythmic. She's an anomaly in her friend group: the only child of a young, single mom, and her life is decidedly less privileged. She loves to draw but is too self-conscious to show it. And even though her mom knows she's bisexual, she hasn't mustered the courage to tell her friends--not even her openly gay BFF, Simon. So Leah really doesn't know what to do when her rock-solid friend group starts to fracture in unexpected ways. With prom and college on the horizon, tensions are running high. It's hard for Leah to strike the right note while the people she loves are fighting--especially when she realizes she might love one of them more than she ever intended""--Provided by publisher.",,Young Adult
The lost continent,"Sutherland, Tui 1978-",9781338214444,F,FIC,Dragons -- Fiction. | Heroes and heroines -- Fiction. | Enemies -- Fiction | Secrecy -- Fiction. | Magic -- Fiction. | Good and evil -- Fiction. | Fantasy fiction. | Action and adventure fiction.,"""Blue the SilkWing is content. Life in his Hive is safe; he loves his family; he has enough to eat. And Pantala has been at peace for as long as he can remember--SilkWings and HiveWings live and work together in harmony, and because they stay vigilant, no one has seen a dangerous LeafWing in years. Now that Blue's sister, Luna, is undergoing her Metamorphosis, Blue knows things are going to change. Luna will have her wings and her silk, be assigned a partner and a work order, and move to another Hive. A few days later, Blue's own wings and silk will come in. But nothing could prepare Blue for what happens when Luna's wings start to grow. Suddenly his world is turned upside down, throwing him into dangers he never knew existed. Pantala isn't as peaceful as it seems, and Blue isn't safe. Whether he's ready or not, it's time to adapt--and fight for his life""--Provided by publisher.",Wings of fire,5.4.
"Love, Creekwood a Simonverse novella","Albertalli, Becky.",9780063048126,F,FIC,College students -- Fiction. | Students -- Fiction. | Gays -- Fiction. | Bisexual people -- Fiction. | Friendship -- Fiction. | Epistolary fiction. | Novellas.,"""It's been more than a year since Simon and Blue turned their anonymous online flirtation into an IRL relationship, and just a few months since Abby and Leah's unforgettable night at senior prom. Now the Creekwood High crew are in their first years at different colleges, navigating friendship and romance the way their story began--on email""--OCLC.",,Young Adult
